,x,y,c
182,3.6373546,-3.5734375,#CD7A8F
183,3.6827815,-3.6249819,#CD7A8F
184,3.647986,-3.557534,#CD7A8F
185,3.6467319,-3.5437086,#CD7A8F
186,2.699715,-3.831986,#CD7A8F
187,2.6994677,-3.8226073,#CD7A8F
188,2.6988235,-3.8208594,#CD7A8F
189,2.6937017,-3.8200243,#CD7A8F
190,2.687263,-3.828752,#CD7A8F
191,3.5549083,-4.325351,#CD7A8F
192,3.5864465,-3.8289034,#CD7A8F
193,3.6201997,-3.7516947,#CD7A8F
194,4.144874,-0.53840077,#CD7A8F
195,3.555575,-4.365734,#CD7A8F
196,3.1475792,-3.6877155,#CD7A8F
197,3.7705686,-4.1829333,#CD7A8F
198,3.0833526,-3.2136922,#CD7A8F
199,3.0814352,-3.2303867,#CD7A8F
200,4.444712,-3.6996384,#CD7A8F
201,4.4815345,-3.6690488,#CD7A8F
202,4.473542,-3.6803987,#CD7A8F
203,4.461057,-3.6992953,#CD7A8F
204,3.9127684,-3.780519,#CD7A8F
205,3.889308,-3.761067,#CD7A8F
206,3.8768733,-3.750358,#CD7A8F
207,3.3626354,-4.5244584,#CD7A8F
208,3.2743964,-4.57725,#CD7A8F
209,3.348846,-4.5427275,#CD7A8F
210,3.248935,-3.7215726,#CD7A8F
211,3.2429447,-3.70222,#CD7A8F
212,3.7265983,-3.6423297,#CD7A8F
213,3.6319745,-3.691254,#CD7A8F
214,4.351939,-3.7194967,#CD7A8F
215,4.3796635,-3.7144313,#CD7A8F
216,4.178207,-3.7027552,#CD7A8F
217,4.1742053,-3.7052028,#CD7A8F
218,3.016037,-4.1621675,#CD7A8F
219,2.9872744,-4.1546574,#CD7A8F
220,3.0004284,-4.1579986,#CD7A8F
221,3.0104477,-4.17113,#CD7A8F
222,3.6022804,-3.7044125,#CD7A8F
223,3.47906,-3.6950693,#CD7A8F
224,3.579393,-3.3237948,#CD7A8F
225,3.5688455,-3.3044398,#CD7A8F
226,3.5775766,-3.3267941,#CD7A8F
227,3.5649364,-3.3017614,#CD7A8F
228,3.0318515,-3.2164006,#CD7A8F
229,3.0449715,-3.2418613,#CD7A8F
230,3.0444503,-3.2215304,#CD7A8F
231,3.6443427,-3.9800303,#CD7A8F
232,3.6383212,-3.9237435,#CD7A8F
233,4.417392,-0.1376957,#CD7A8F
234,4.2255673,-3.6439111,#CD7A8F
235,4.2172,-3.6661284,#CD7A8F
236,4.1872873,-3.6451342,#CD7A8F
237,3.122712,-3.408841,#CD7A8F
238,3.6626794,-0.14882375,#CD7A8F
239,3.6386702,-0.22158502,#CD7A8F
240,3.1605644,-0.7944345,#CD7A8F
241,3.172538,-0.8019698,#CD7A8F
242,3.176059,-0.8024178,#CD7A8F
243,4.230739,-0.38036025,#CD7A8F
244,4.2233214,-0.38937733,#CD7A8F
245,4.203229,-0.41476333,#CD7A8F
246,4.091264,-1.5145426,#CD7A8F
247,4.0805016,-1.5273112,#CD7A8F
248,4.0888577,-1.51826,#CD7A8F
249,4.0897007,-1.5215646,#CD7A8F
250,3.3258197,-4.0652337,#CD7A8F
251,3.3419073,-4.1042523,#CD7A8F
252,3.693673,-4.4029794,#CD7A8F
253,3.6997616,-4.411927,#CD7A8F
254,3.7013226,-4.4228816,#CD7A8F
255,3.72283,-4.4283113,#CD7A8F
256,0.99764633,-0.22991025,#CD7A8F
257,0.9876525,-0.22978695,#CD7A8F
258,0.99656296,-0.22968765,#CD7A8F
259,0.99802405,-0.22983502,#CD7A8F
260,1.0079232,-0.23498207,#CD7A8F
261,0.9981823,-0.22993837,#CD7A8F
262,3.5751925,-4.4615,#CD7A8F
263,3.5402157,-4.449169,#CD7A8F
264,3.5639138,-4.4589024,#CD7A8F
265,3.0011327,-3.0709527,#CD7A8F
266,3.0060484,-3.0784972,#CD7A8F
267,3.010267,-3.0648146,#CD7A8F
268,3.0057726,-3.0719736,#CD7A8F
269,4.0747232,-3.85718,#CD7A8F
270,4.048746,-3.8684611,#CD7A8F
271,4.08574,-3.8989701,#CD7A8F
272,2.8189917,-0.99256045,#CD7A8F
273,2.833402,-0.97537214,#CD7A8F
274,2.799498,-1.0316981,#CD7A8F
275,3.2879224,-4.06118,#CD7A8F
276,3.2968428,-4.0262294,#CD7A8F
277,4.4899225,-4.6524324,#CD7A8F
278,4.488636,-4.6407185,#CD7A8F
279,4.4894333,-4.6516924,#CD7A8F
280,4.478971,-4.641576,#CD7A8F
281,3.038817,-3.227016,#CD7A8F
282,3.7241526,-4.1677976,#CD7A8F
283,3.643117,-4.464034,#CD7A8F
284,3.680853,-4.4436245,#CD7A8F
285,8.995515,3.0232422,#213D45
286,8.563666,4.078311,#213D45
287,8.411789,3.579272,#213D45
288,8.543439,4.0377274,#213D45
289,8.771803,3.533253,#213D45
290,9.10119,3.153902,#213D45
291,8.780852,3.0370438,#213D45
292,9.226468,3.784753,#213D45
293,8.802838,3.5744643,#213D45
294,8.827296,4.209647,#213D45
295,8.766718,3.0869143,#213D45
296,8.743768,4.207942,#213D45
297,8.765558,3.3475518,#213D45
298,9.32378,3.6987033,#213D45
299,8.824746,3.6532016,#213D45
300,9.252486,3.9354208,#213D45
301,9.256773,3.955222,#213D45
302,4.0031104,1.2388698,#213D45
303,9.07531,3.344095,#213D45
304,8.846666,3.0435627,#213D45
305,9.235875,3.786167,#213D45
306,9.006274,3.237302,#213D45
307,9.188088,3.2234163,#213D45
308,8.981585,3.8841636,#213D45
309,8.967876,3.5566733,#213D45
310,8.975686,3.358623,#213D45
311,9.217452,3.4638534,#213D45
312,8.838845,3.0094767,#213D45
313,9.147279,3.3815386,#213D45
314,8.773645,3.9760728,#213D45
315,8.641162,3.1880357,#213D45
316,8.621668,3.805827,#213D45
317,8.387778,3.3571591,#213D45
318,9.000097,4.1564507,#213D45
319,8.841722,3.346291,#213D45
320,8.945864,3.8011682,#213D45
321,8.570115,3.3006918,#213D45
322,8.548629,3.9295225,#213D45
323,9.125121,3.098566,#213D45
324,8.607416,4.031577,#213D45
325,8.731087,3.048446,#213D45
326,8.832486,4.21653,#213D45
327,9.083847,3.397647,#213D45
328,9.277634,3.665933,#213D45
329,8.555957,3.1205583,#213D45
330,8.909527,4.06672,#213D45
331,8.7752,3.186996,#213D45
332,8.551757,3.8614478,#213D45
333,8.700945,3.9739332,#213D45
334,8.931412,3.3000085,#213D45
335,9.079623,3.2292411,#213D45
336,9.206675,3.249691,#213D45
337,9.045298,3.5191145,#213D45
338,9.330709,3.2071357,#213D45
339,8.901991,3.0178876,#213D45
340,9.3173,3.5545175,#213D45
341,9.159608,3.1208718,#213D45
342,8.444791,3.565746,#213D45
343,8.647273,4.101247,#213D45
344,9.188969,3.2085369,#213D45
345,9.153933,3.3110597,#213D45
346,8.837346,2.9934797,#213D45
347,8.894921,4.1808,#213D45
348,8.482771,3.3094046,#213D45
349,8.985367,4.145514,#213D45
350,8.392144,3.4454012,#213D45
351,9.22529,3.915404,#213D45
352,9.198685,3.9628584,#213D45
353,8.400179,3.6372929,#213D45
354,8.802236,3.8680112,#213D45
355,9.107189,3.4287894,#213D45
356,4.590219,0.62140405,#213D45
357,9.054563,4.106499,#213D45
358,8.480482,3.3543944,#213D45
359,9.030155,3.2957819,#213D45
360,8.664615,3.234093,#213D45
361,9.189526,3.9185266,#213D45
362,8.89848,3.030785,#213D45
363,8.492914,3.5588973,#213D45
364,8.491075,3.3518193,#213D45
365,9.344192,3.6272268,#213D45
366,8.532534,3.3047931,#213D45
367,8.922096,2.972068,#213D45
368,8.870084,2.9570065,#213D45
369,8.565348,3.9511254,#213D45
370,9.17281,3.4900467,#213D45
371,8.442751,3.8786967,#213D45
372,8.815301,3.1514466,#213D45
373,8.265278,3.5652428,#213D45
374,9.298374,2.7789862,#213D45
375,8.711135,3.3200202,#213D45
376,8.594424,3.4526813,#213D45
377,8.594239,3.199454,#213D45
378,9.007536,4.1560655,#213D45
379,9.0252695,3.1736479,#213D45
380,9.142739,3.2575352,#213D45
381,9.323381,3.1013885,#213D45
382,8.485333,3.5355768,#213D45
383,9.025607,3.3482082,#213D45
384,8.722834,4.148236,#213D45
385,8.766831,3.013978,#213D45
386,9.113161,4.1300416,#213D45
387,8.462011,3.5250936,#213D45
388,8.399097,3.4924376,#213D45
389,9.117111,3.9099257,#213D45
390,8.604542,3.2692409,#213D45
391,8.918175,4.124999,#213D45
392,8.654283,3.293391,#213D45
393,8.487085,3.6775906,#213D45
394,8.494984,3.1519427,#213D45
395,8.6824,4.1135874,#213D45
396,8.627102,3.907742,#213D45
397,8.4513855,3.3770232,#213D45
398,8.876285,4.179328,#213D45
399,8.692677,2.9292533,#213D45
400,9.137598,4.110575,#213D45
401,9.206059,3.4133887,#213D45
402,9.127595,3.5129373,#213D45
403,8.867452,3.9836297,#213D45
404,8.591864,3.1392908,#213D45
405,9.126556,3.759813,#213D45
406,8.681324,3.053199,#213D45
407,9.11534,3.5256138,#213D45
408,8.779031,3.256633,#213D45
409,9.138354,4.152736,#213D45
410,8.783087,2.459416,#213D45
411,8.583482,3.3142562,#213D45
412,9.169232,4.076456,#213D45
413,9.19714,4.1665473,#213D45
414,9.203331,3.1711845,#213D45
415,4.8808627,0.8420157,#213D45
416,8.976345,3.0113876,#213D45
417,9.266703,3.9425828,#213D45
418,8.5365505,3.3480954,#213D45
419,9.111415,4.1370406,#213D45
420,9.142063,3.067605,#213D45
421,8.492727,3.6566262,#213D45
422,8.469186,3.6743119,#213D45
423,8.780818,3.4055755,#213D45
424,8.8910885,3.7638535,#213D45
425,8.572256,2.888121,#213D45
426,8.36238,2.9912698,#213D45
427,8.964169,3.2499137,#213D45
428,8.78775,2.9214437,#213D45
429,9.095069,3.9883893,#213D45
430,8.837129,3.0987017,#213D45
431,9.24313,3.1629963,#213D45
432,9.170027,3.1402133,#213D45
433,5.1750994,0.24975069,#213D45
434,5.133451,0.32566416,#213D45
435,9.17431,3.1518981,#213D45
436,8.475781,3.6583142,#213D45
437,8.89082,3.3687844,#213D45
438,8.8659115,4.0087976,#213D45
439,8.470974,3.2099712,#213D45
440,8.48947,3.6569335,#213D45
441,9.008981,4.142805,#213D45
442,8.7586355,3.0813224,#213D45
443,8.873778,3.7619362,#213D45
444,8.710413,2.9820185,#213D45
445,9.054317,2.9877305,#213D45
446,8.535159,3.4649112,#213D45
447,8.926223,3.8339472,#213D45
448,8.623304,3.818133,#213D45
449,9.324953,3.7308233,#213D45
450,9.173275,3.2929766,#213D45
451,9.275588,3.6895938,#213D45
452,8.406547,3.4989922,#213D45
453,9.361556,3.5866697,#213D45
454,8.906687,3.1918123,#213D45
455,8.54336,3.7893572,#213D45
456,2.4597268,-6.0873013,#FFDC5E
457,2.4507375,-6.094344,#FFDC5E
458,2.4693587,-6.0819926,#FFDC5E
459,2.4589486,-6.0911093,#FFDC5E
460,2.7780392,-5.4463267,#FFDC5E
461,2.7490935,-5.450981,#FFDC5E
462,2.8792987,-5.3026,#FFDC5E
463,2.8819332,-5.2959123,#FFDC5E
464,2.4963179,-6.0777297,#FFDC5E
465,2.7991786,-5.4631443,#FFDC5E
466,2.8550317,-5.434247,#FFDC5E
467,2.854512,-5.804704,#FFDC5E
468,2.8286183,-5.8573136,#FFDC5E
469,2.8334863,-5.869391,#FFDC5E
470,2.1712186,-6.3282924,#FFDC5E
471,2.8372233,-5.3912683,#FFDC5E
472,2.8014767,-5.4427676,#FFDC5E
473,2.8291185,-5.7627745,#FFDC5E
474,2.813558,-5.8115907,#FFDC5E
475,2.180045,-6.322319,#FFDC5E
476,1.9277147,-5.3779244,#FFDC5E
477,1.9257183,-5.374369,#FFDC5E
478,2.839845,-5.792521,#FFDC5E
479,2.710326,-5.602365,#FFDC5E
480,2.7874956,-5.6108623,#FFDC5E
481,2.4193923,-6.1219606,#FFDC5E
482,2.4189289,-6.126575,#FFDC5E
483,2.23207,-6.2554574,#FFDC5E
484,2.7867193,-5.367499,#FFDC5E
485,2.7805421,-5.8406987,#FFDC5E
486,2.791941,-5.846809,#FFDC5E
487,2.749239,-5.8802285,#FFDC5E
488,2.812745,-5.578342,#FFDC5E
489,2.8112326,-5.581131,#FFDC5E
490,2.7076015,-5.9347367,#FFDC5E
491,2.7222357,-5.930432,#FFDC5E
492,2.6800761,-5.9747767,#FFDC5E
493,2.9081576,-5.239811,#FFDC5E
494,2.8882887,-5.2651114,#FFDC5E
495,2.8902922,-5.247455,#FFDC5E
496,2.4727938,-6.0660934,#FFDC5E
497,2.5116615,-6.030962,#FFDC5E
498,2.2337785,-6.2740197,#FFDC5E
499,2.2113175,-6.2973285,#FFDC5E
500,2.1956336,-6.3132033,#FFDC5E
501,2.4893534,-6.0782204,#FFDC5E
502,2.4424598,-6.1062036,#FFDC5E
503,2.9823031,-5.243092,#FFDC5E
504,2.8323114,-5.535169,#FFDC5E
505,2.8237638,-5.5699606,#FFDC5E
506,2.3956122,-5.4478498,#FFDC5E
507,2.6819751,-5.4754667,#FFDC5E
508,2.696378,-5.4563737,#FFDC5E
509,2.786171,-5.89658,#FFDC5E
510,2.76811,-5.8480577,#FFDC5E
511,2.8047018,-5.826032,#FFDC5E
512,1.9421306,-5.3781734,#FFDC5E
513,1.9422144,-5.3787665,#FFDC5E
514,1.9244822,-5.377067,#FFDC5E
515,1.9249191,-5.377107,#FFDC5E
516,1.9263115,-5.377722,#FFDC5E
517,2.1754534,-6.327586,#FFDC5E
518,2.175914,-6.3269753,#FFDC5E
519,2.2084663,-6.296572,#FFDC5E
520,2.8619854,-5.541309,#FFDC5E
521,2.1792338,-6.3289433,#FFDC5E
522,2.2012084,-6.3094397,#FFDC5E
523,2.2139297,-6.2952733,#FFDC5E
524,3.3478768,-3.9527488,#FFDC5E
525,3.0262213,-5.1540794,#FFDC5E
526,3.125511,-4.9078283,#FFDC5E
527,3.516035,1.6828339,#4A5899
528,3.552961,1.7058105,#4A5899
529,3.6618779,1.3258184,#4A5899
530,4.4007487,-0.23227754,#4A5899
531,3.197911,2.4704003,#4A5899
532,3.1924906,2.4611065,#4A5899
533,3.1807463,2.0618382,#4A5899
534,2.8731744,1.348483,#4A5899
535,3.5101142,-0.20892338,#4A5899
536,3.4969594,1.4622674,#4A5899
537,3.4864397,1.4325823,#4A5899
538,3.1033533,0.1091986,#4A5899
539,3.148576,0.089471586,#4A5899
540,2.7947876,-0.027028201,#4A5899
541,2.9742172,2.6552424,#4A5899
542,3.0099478,2.6181083,#4A5899
543,2.949991,-0.15416463,#4A5899
544,3.4638124,0.012403378,#4A5899
545,3.649806,0.07984085,#4A5899
546,2.9786932,0.16310152,#4A5899
547,4.0573325,2.213616,#4A5899
548,4.0629225,2.2223525,#4A5899
549,4.8405,-0.18481015,#4A5899
550,3.1525898,0.024381097,#4A5899
551,3.4662943,0.2491848,#4A5899
552,2.978663,0.054707162,#4A5899
553,2.9377959,0.053479053,#4A5899
554,2.9954464,0.07326726,#4A5899
555,3.197522,0.02868714,#4A5899
556,4.4347157,-0.078498006,#4A5899
557,3.129637,2.4210851,#4A5899
558,4.29964,1.900663,#4A5899
559,4.2989855,1.9014244,#4A5899
560,2.5857086,0.7557616,#4A5899
561,4.1001744,-0.09087562,#4A5899
562,3.752579,-0.22775155,#4A5899
563,3.408013,-0.3424327,#4A5899
564,3.0642946,-0.5426577,#4A5899
565,3.3615692,-0.309427,#4A5899
566,3.2888355,-0.35765287,#4A5899
567,3.726888,-0.088239454,#4A5899
568,3.6897233,-0.09737652,#4A5899
569,3.6974294,-0.0671899,#4A5899
570,2.9413605,-0.5483046,#4A5899
571,2.961029,-0.48987526,#4A5899
572,3.9602604,-0.141637,#4A5899
573,3.9350586,-0.12151881,#4A5899
574,3.5660117,0.5858759,#4A5899
575,4.6974034,-0.33380002,#4A5899
576,1.1184182,-0.19033782,#4A5899
577,3.7979963,-0.09566196,#4A5899
578,2.9543228,-0.06858787,#4A5899
579,3.415029,-0.4017406,#4A5899
580,2.6408668,0.67115915,#4A5899
581,3.2154512,2.0128214,#4A5899
582,3.2330432,1.9743322,#4A5899
583,4.6607323,-0.20742366,#4A5899
584,4.402385,0.11037545,#4A5899
585,4.077097,-0.026968919,#4A5899
586,3.5624638,0.35239065,#4A5899
587,4.010612,1.5198928,#4A5899
588,4.6482472,-0.37316948,#4A5899
589,4.6585507,-0.32414183,#4A5899
590,4.745225,-0.33042863,#4A5899
591,4.7336693,-0.32740682,#4A5899
592,3.553477,0.22537467,#4A5899
593,3.9777267,0.1935277,#4A5899
594,3.425893,0.01953652,#4A5899
595,3.0647717,-0.29363653,#4A5899
596,3.0919216,-0.24387588,#4A5899
597,3.1336734,0.28762695,#4A5899
598,3.9035966,2.679525,#4A5899
599,3.8975322,2.697783,#4A5899
600,3.8909767,2.695204,#4A5899
601,2.9983315,0.1875482,#4A5899
602,2.8958652,0.033921994,#4A5899
603,4.2052097,1.9070954,#4A5899
604,3.4595344,0.25124928,#4A5899
605,3.40814,-0.11265093,#4A5899
606,5.1216865,-0.063778356,#4A5899
607,3.7272193,-0.0020587994,#4A5899
608,4.9651365,0.0076891123,#4A5899
609,4.975416,-0.0307929,#4A5899
610,2.5223415,1.2255214,#4A5899
611,3.2788444,-0.5301484,#4A5899
612,3.8962831,2.677982,#4A5899
613,3.8707352,2.6736975,#4A5899
614,4.2798576,2.229864,#4A5899
615,3.07825,3.0451305,#4A5899
616,3.079528,3.0471573,#4A5899
617,3.083078,3.0452056,#4A5899
618,3.2239053,0.012769574,#4A5899
619,3.0582187,-0.4387228,#4A5899
620,3.0698543,-0.4325856,#4A5899
621,3.7018626,0.42324588,#4A5899
622,4.2862506,1.9393069,#4A5899
623,2.8355725,2.7934742,#4A5899
624,2.8177478,2.80581,#4A5899
625,2.811897,2.7944348,#4A5899
626,4.052052,-0.13191977,#4A5899
627,4.020607,-0.065366276,#4A5899
628,3.6159587,0.96340936,#4A5899
629,4.1050334,-1.3384544,#4A5899
630,3.6414504,-0.28155994,#4A5899
631,3.6093771,-0.25735745,#4A5899
632,2.8830714,0.094035335,#4A5899
633,3.3928385,-0.06946677,#4A5899
634,2.738806,1.76419,#4A5899
635,3.2241817,-0.37529588,#4A5899
636,3.4190853,0.24791056,#4A5899
637,8.31514,4.039321,#4A5899
638,8.300065,4.044194,#4A5899
639,4.3047075,-0.22785567,#4A5899
640,3.4206033,0.052224837,#4A5899
641,3.1530735,-0.6884275,#4A5899
642,3.4402387,-0.6480563,#4A5899
643,3.4454618,-0.6537274,#4A5899
644,4.7824764,-0.24089594,#4A5899
645,4.01219,0.16476646,#4A5899
646,4.1974125,0.43118238,#4A5899
647,3.0279198,0.41624212,#4A5899
648,3.9559467,-0.20977761,#4A5899
649,4.8501296,-0.3844386,#4A5899
650,2.504987,1.22314,#4A5899
651,2.5274358,1.2352746,#4A5899
652,3.7995908,-0.811433,#4A5899
653,2.3871727,1.5778338,#4A5899
654,2.4067798,1.581366,#4A5899
655,2.4133627,1.5603178,#4A5899
656,2.3962998,1.5916709,#4A5899
657,5.290728,-0.035227004,#4A5899
658,2.9360757,1.883389,#4A5899
659,2.983129,1.8030064,#4A5899
660,3.4531188,-0.23015176,#4A5899
661,3.6430974,0.6392562,#4A5899
662,5.442742,0.026765596,#4A5899
663,4.6152864,-0.15569964,#4A5899
664,4.1186476,1.6443782,#4A5899
665,3.942407,2.7225103,#4A5899
666,3.9120502,2.6965425,#4A5899
667,3.1834981,1.9699816,#4A5899
668,3.1431503,2.019122,#4A5899
669,4.1648545,-0.19825451,#4A5899
670,3.6858256,2.4321039,#4A5899
671,3.4667053,2.5326955,#4A5899
672,4.1556845,0.089210354,#4A5899
673,3.2498813,0.5704663,#4A5899
674,3.3462827,0.5543423,#4A5899
675,3.2983212,0.034630366,#4A5899
676,3.2755153,0.04966145,#4A5899
677,3.4750795,2.5715828,#4A5899
678,5.271946,0.3912888,#4A5899
679,3.9137597,-0.18395628,#4A5899
680,2.4362404,1.5640401,#4A5899
681,2.4320543,1.575188,#4A5899
682,2.3795257,1.5156695,#4A5899
683,3.7222762,0.026636073,#4A5899
684,3.4869344,2.4791565,#4A5899
685,3.5447793,3.155113,#4A5899
686,3.5447478,3.15642,#4A5899
687,3.5510695,3.1583889,#4A5899
688,3.2481344,0.6749168,#4A5899
689,3.1218746,0.7447757,#4A5899
690,2.8974895,1.0688488,#4A5899
691,2.8868897,1.0004199,#4A5899
692,3.7523339,2.5414891,#4A5899
693,2.4877112,1.9531137,#4A5899
694,3.5971997,0.015625171,#4A5899
695,3.1165004,0.33628806,#4A5899
