,Unnamed: 0,Correlation (r),id_type
0,0,0.4440416703107455,ECoG
1,1,0.2886823579175537,ECoG
2,2,0.1089908463378501,ECoG
3,3,0.0276238559745442,ECoG
4,4,0.1093161923924061,ECoG
5,5,0.0249899434620916,ECoG
6,6,0.5258567843020365,NP
7,7,0.3384968703813732,NP
8,8,0.178888285540361,NP
9,9,0.1842901809248898,NP
10,10,0.4668586050794689,NP
11,11,0.7406469637129895,NP
